acc,auc,dataset,fold,framework,id,info,logloss,metric_error,metric_score,mode,models,models_ensemble,params,problem_type,seed,tag,time_infer_s,time_train_s,utc,version
0.764706,,vehicle,0,autogluon_nonn_1h,openml.org/t/53,,0.477652,0.477652,0.477652,local,10.0,10.0,,multiclass,4253087614,stable,0.0740545,12.7,2020-02-03T08:35:16,0.0.5
0.716172,,Volkert,0,autogluon_nonn_1h,openml.org/t/168331,,0.794822,0.794822,0.794822,local,10.0,10.0,,multiclass,4253472342,stable,5.453869999999998,723.1,2020-02-03T08:49:06,0.0.5
0.876561,0.931917,adult,0,autogluon_norepeatbag_1h,openml.org/t/7592,,,0.068083,0.931917,local,22.0,22.0,,binary,1267275996,stable,73.5305,3612.2,2020-02-03T09:30:18,0.0.5
0.655166,0.7078479999999999,Airlines,0,autogluon_norepeatbag_1h,openml.org/t/189354,,,0.2921520000000001,0.7078479999999999,local,14.0,14.0,,binary,2904038408,stable,409.381,3688.3,2020-02-03T09:53:16,0.0.5
0.692809,0.7622399999999999,Albert,0,autogluon_norepeatbag_1h,openml.org/t/189356,,,0.23776000000000008,0.7622399999999999,local,11.0,11.0,,binary,3770913915,stable,647.055,3655.0,2020-02-03T10:14:31,0.0.5
0.948734,0.880207,Amazon_employee_access,0,autogluon_norepeatbag_1h,openml.org/t/34539,,,0.11979300000000004,0.880207,local,22.0,22.0,,binary,3501231551,stable,21.4452,2499.6,2020-02-03T09:09:04,0.0.5
0.995658,0.992811,APSFailure,0,autogluon_norepeatbag_1h,openml.org/t/168868,,,0.007189000000000001,0.992811,local,22.0,22.0,,binary,340291922,stable,119.603,3618.1,2020-02-03T09:35:00,0.0.5
0.8695649999999999,0.949066,Australian,0,autogluon_norepeatbag_1h,openml.org/t/146818,,,0.050934000000000035,0.949066,local,11.0,11.0,,binary,3463259410,stable,0.7145779999999999,43.4,2020-02-03T08:26:00,0.0.5
0.911544,0.940437,bank-marketing,0,autogluon_norepeatbag_1h,openml.org/t/14965,,,0.05956300000000003,0.940437,local,22.0,22.0,,binary,3427656515,stable,46.3182,3606.3,2020-02-03T09:28:52,0.0.5
0.773333,0.751949,blood-transfusion,0,autogluon_norepeatbag_1h,openml.org/t/10101,,,0.24805100000000002,0.751949,local,11.0,11.0,,binary,1546976210,stable,0.758184,46.5,2020-02-03T08:26:06,0.0.5
